Date,Topic,Read before class,Exercise
"Thursday, January 02",Introduction,,
"Tuesday, January 07",,,
"Thursday, January 09",,,
"Tuesday, January 14",,,
"Thursday, January 16",,,
"Tuesday, January 21",,,
"Thursday, January 23",,,
"Tuesday, January 28",,,
"Thursday, January 30",,,
"Tuesday, February 04",,,
"Thursday, February 06",,,
"Tuesday, February 11",,,
"Thursday, February 13",,,
"Tuesday, February 18",,,
"Thursday, February 20",,,
"Tuesday, February 25",,,
"Thursday, February 27",,,
"Tuesday, March 03",,,
"Thursday, March 05",,,
"Tuesday, March 10",,,
"Thursday, March 12",,,
"Tuesday, March 17",,,
"Thursday, March 19",,,
"Tuesday, March 24",,,
"Thursday, March 26",,,
"Tuesday, March 31",,,
"Thursday, April 02",,,
"Tuesday, April 07",,,
"Thursday, April 09",,,
"Tuesday, April 14",,,
"Thursday, April 16",,,
"Tuesday, April 21",,,
"Thursday, April 23",,,
"Tuesday, April 28",,,
"Thursday, April 30",,,
"Tuesday, May 05",,,
"Thursday, May 07",,,
"Tuesday, May 12",,,
"Thursday, May 14",,,
"Tuesday, May 19",,,
"Thursday, May 21",,,
"Tuesday, May 26",,,
"Thursday, May 28",,,
"Tuesday, June 02",,,
"Thursday, June 04",,,
"Tuesday, June 09",,,
"Thursday, June 11",,,
"Tuesday, June 16",,,
"Thursday, June 18",,,
"Tuesday, June 23",,,
"Thursday, June 25",,,
"Tuesday, June 30",,,
